ID;Nom centrale;Sous-traitant;Type;Puissance (kWc);Département;Localisation;Adresse complète;ID Référent;SPV;Latitude;Longitude;Type centrale;Installateur;Date MES;SI;Panneaux;Contact Exploitation;Tel Exploitation;Contact Gestion;Tel Gestion;Audit toiture;Audit hors toiture;Ratio PR;Date prév audit;Mission ID;Statut mission;Date mission
43;Bourgeois;EDOUARD - Martial;SOL;225.68;44;Le Roscouët, 44440 Teillé, France;Le Roscouët, 44440 Teillé, France;81492;F3 GIRASPV15;47.44106;-1.27682;Bâtiment à construire - A1;INNOVA;06/08/2025;DOME SOLAR Helios B²;DMEGC-DM455M10RT-B54HSW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;X;X;99%;;43;PLANIFIE;2025-12-01
34;Cheraud;EDOUARD - Martial;SOL;499.59;44;Bellevue, 44260 Malville, France;Bellevue, 44260 Malville, France;82721;F3 DAVAI ENRSPV13;47.355;-1.83701;Bâtiment à construire -  A2;OFT;18/07/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-B54HSW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;;X;102%;;34;PLANIFIE;2025-12-01
31;Concept-TY Chambray 2;EDOUARD - Martial;SOL;118.37;37;Rue Etienne Cosson, 37170 Chambray-lès-Tours, France;Rue Etienne Cosson, 37170 Chambray-lès-Tours, France;3384;F2 DAVAI ENRSPV7;47.32796;0.70112;Toiture existante / PV Ready;REGIESOLAIRE;24/06/2025;Soprasolar FixEvoTilt;JKM445N-54HL4R-V;Yasser BADREZZAMANE;06 74 09 71 44;Victor PONTAIS;06 69 21 76 42;;X;97%;;31;PLANIFIE;2025-12-01
48;HANGAR Gérald Guillet;EDOUARD - Martial;SOL;197.8;17;Bois Rond, 17510 Les Éduts, France;Bois Rond, 17510 Les Éduts, France;34481;F2 DAVAI ENRSPV7;45.98895;-0.21354;Bâtiment à construire -  A2;Eiffage;19/09/2024;DOMESOLAR NPA 3.45;DMEGC-DM430M10T-54HSW-HBW;Parfait MEZEME ONA;06 63 06 94 73;Victor PONTAIS;06 69 21 76 42;;X;123%;;48;PLANIFIE;2025-12-01
8;Hangar Karl Biteau;EDOUARD - Martial;SOL;324.22;17;17250 Sainte-Gemme, France;17250 Sainte-Gemme, France;58962;F2 DAVAI ENRSPV8;45.7447;-0.92605;Bâtiment à construire - C;Eiffage;19/11/2024;DOMESOLAR NPA 3.45;DMEGC-DM430M10T-54HSW-HBW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;X;X;98%;;8;PLANIFIE;2025-12-01
17;Hangar Renaud Sonnard;EDOUARD - Martial;SOL;324.87;79;Les grandes versaines, 79160 Villiers-en-Plaine, France;Les grandes versaines, 79160 Villiers-en-Plaine, France;83431;F3 DAVAI ENRSPV11;46.41411;-0.53832;Bâtiment à construire - A1;REGIESOLAIRE;20/03/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-54HSW-HBW;Yasser BADREZZAMANE;06 74 09 71 44;Jean-Paul THOROGOOD;06 74 94 09 90;X;X;110%;;17;PLANIFIE;2025-12-01
39;VIEL;EDOUARD - Martial;SOL;211.575;44;La Haute Bellangerais, 44390 Les Touches, France;La Haute Bellangerais, 44390 Les Touches, France;49814;F3 DAVAI ENRSPV11;47.46443;-1.40235;Bâtiment à construire - A1;OFT;28/07/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-54HSW-HBW;Yasser BADREZZAMANE;06 74 09 71 44;Jean-Paul THOROGOOD;06 74 94 09 90;X;X;55%;;39;PLANIFIE;2025-12-01
