ID;Nom centrale;Sous-traitant;Type;Puissance (kWc);Département;Localisation;Adresse complète;ID Référent;SPV;Latitude;Longitude;Type centrale;Installateur;Date MES;SI;Panneaux;Contact Exploitation;Tel Exploitation;Contact Gestion;Tel Gestion;Audit toiture;Audit hors toiture;Ratio PR;Date prév audit;Mission ID;Statut mission;Date mission
6;Hangar Bernard MAGE;CADENET;SOL;300.82;46;Broussoles, 46210 Montet-et-Bouxal, France;Broussoles, 46210 Montet-et-Bouxal, France;70087;F2 DAVAI ENRSPV8;44.75755;2.04496;Bâtiment à construire -  A2;Acrom;13/11/2024;DOMESOLAR NPA 3.45;JKM445N-54HL4R-V;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;X;X;102%;;6;PLANIFIE;2025-12-01
5;Hangar Laurent ROUX;CADENET;SOL;123.41;15;Cros et Vareine, 15260 Neuvéglise-sur-Truyère, France;Cros et Vareine, 15260 Neuvéglise-sur-Truyère, France;17966;F2 DAVAI ENRSPV8;44.92766;2.99036;Toiture existante / Rénovation;OFT ;22/10/2024;DOMESOLAR Ital Solar;DMEGC-DM430M10T-54HSW-HBW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;;X;67%;;5;PLANIFIE;2025-12-01
7;Hangar Pierre MOURGUES;CADENET;SOL;222.5;46;Mondounet - Fargues, 46800 Porte-du-Quercy, France;Mondounet - Fargues, 46800 Porte-du-Quercy, France;30489;F2 DAVAI ENRSPV9;44.38426;1.16738;Bâtiment à construire - C;Acrom;15/11/2024;DOMESOLAR NPA 3.45;DMEGC-DM445M10RT-54HSW-HBW;Parfait MEZEME ONA;06 63 06 94 73;Victor PONTAIS;06 69 21 76 42;;X;93%;semaine 49;7;TERMINE;2025-12-01
