ID;Nom centrale;Sous-traitant;Type;Puissance (kWc);Département;Localisation;Adresse complète;ID Référent;SPV;Latitude;Longitude;Type centrale;Installateur;Date MES;SI;Panneaux;Contact Exploitation;Tel Exploitation;Contact Gestion;Tel Gestion;Audit toiture;Audit hors toiture;Ratio PR;Date prév audit;Mission ID;Statut mission;Date mission
3;Azemar;DRONE AVEYRON SERVICE;SOL;319;12;12160 Camboulazet, France;12160 Camboulazet, France;83705;F3 DAVAI ENRSPV13;44.25786;2.45787;Bâtiment à construire - C;3C instal;06/05/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-B54HSW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;;X;97%;semaine 49;3;PLANIFIE;2025-12-01
51;Hangar Sebastien RUDELLE;DRONE AVEYRON SERVICE;SOL;309.4;12;Crayssac, 12120 Salmiech, France;Crayssac, 12120 Salmiech, France;95992;F3 DAVAI ENRSPV11;44.21679;2.63349;Bâtiment à construire - C;3C instal;18/06/2025;DOMESOLAR NPA 3.45;DMEGC-DM455M10RT-54HSW-HBW;Parfait MEZEME ONA;06 63 06 94 73;Jean-Paul THOROGOOD;06 74 94 09 90;;X;94%;semaine 49;51;PLANIFIE;2025-12-01
